LATITUDE,LONGITUDE,LOT_OPERATOR,ADDRESS
49.222495514518997,-123.100262444394010,City of Vancouver,6810 Main Street
49.290399999999998,-123.137100000000000,Easy Park Lot,900 Denman St
49.262480507492398,-123.113686386031010,Easy Park Lot,455 West 10th Ave
49.290287817064304,-123.125469416830000,Coal Harbour Community Centre,480 Broughton Street
49.243656000000001,-123.106549000000000,CoV,4575 Clancy Loranger Way
49.268371999999999,-123.185974000000000,Jericho Village,2083 Alma St.
49.287003820000002,-123.119641599999990,Ivanhoe Cambridge,1040 W. Pender St.
49.212004000000000,-123.106978000000000,Canadian Tire,26 Marine Drive SW
49.287750000000003,-123.112943000000000,Canada Place,999 Canada Place Way
49.283672000000003,-123.117300000000000,Easy Park Lot,701 W. Georgia St.
49.233384999999998,-123.117592000000000,Ivanhoe Cambridge,650 W.41st Ave.
49.204022000000002,-123.134491000000000,ASQ Building Ltd,1200 W.73rd Ave.
49.300049999999999,-123.130193000000010,Vancouver Aquarium,845 Avison Way
49.283543000000002,-123.115042000000000,BCIT / Impark,"555 Seymour St,"
49.283155000000001,-123.142173000000000,Easy Park / Park Board,Beach Ave. @ Cardero St.
49.281483000000001,-123.139793000000000,Easy Park / Park Board,Beach Ave. @ Broughton St.
49.278736000000002,-123.137209000000000,Easy Park / Park Board,Beach Ave. @ Bute St.
49.286918999999997,-123.120740000000000,Ivanhoe Cambridge,1055 Eveleigh St.
49.277692000000002,-123.124668000000000,Best Western,1100 Granville St.
49.276952000000001,-123.118741000000000,City of Vancouver,911 Mainland St.
49.279426000000001,-123.115606000000000,Easypark,775 Hamilton St.
49.260359999999999,-123.123900000000010,Vancouver General Hospital,890 W.12th Ave.
49.260359999999999,-123.123900000000010,VSB,1580 W. Broadway
